Frequency_Hz,Open,High,Low,Close
96.5,0.3257575819598471,0.3257575819598471,0.3257575819598471,0.3257575819598471
96.75,0.328182555610963,0.328182555610963,0.2130959856858371,0.2130959856858371
97.0,0.3460014584368734,0.3460014584368734,0.3460014584368734,0.3460014584368734
97.25,0.506586839123673,0.506586839123673,0.2787856675300083,0.2787856675300083
97.5,1.0398681663297262,1.0398681663297262,1.0398681663297262,1.0398681663297262
97.75,1.5429972532992098,1.5429972532992098,1.4076498322791005,1.4076498322791005
98.0,1.471329204515641,1.471329204515641,1.471329204515641,1.471329204515641
98.25,0.8370869724051115,0.8370869724051115,0.4726610424004827,0.4726610424004827
98.5,0.8466980239980088,0.8466980239980088,0.8466980239980088,0.8466980239980088
98.75,0.6783581216524881,1.1742225939247637,0.6783581216524881,1.1742225939247637
99.0,0.7660055162638001,0.7660055162638001,0.7660055162638001,0.7660055162638001
99.25,1.2537533296970846,1.6506179445315097,1.2537533296970846,1.6506179445315097
99.5,0.8025588604242181,0.8025588604242181,0.8025588604242181,0.8025588604242181
99.75,1.0185473956749629,1.0185473956749629,1.0185473956749629,1.0185473956749629
100.0,0.5186157117951594,0.5186157117951594,0.368974796419814,0.368974796419814
100.25,0.174853771945888,0.174853771945888,0.174853771945888,0.174853771945888
100.5,0.8921348257156513,0.8921348257156513,0.3727543870501746,0.3727543870501746
100.75,0.8940804233087277,0.8940804233087277,0.8940804233087277,0.8940804233087277
101.0,1.429862937129048,1.429862937129048,0.8557567829672399,0.8557567829672399
101.25,0.1655469112652947,0.1655469112652947,0.1655469112652947,0.1655469112652947
101.5,0.4690876763797563,0.6143157755693002,0.4690876763797563,0.6143157755693002
101.75,0.1833195008566698,0.1833195008566698,0.1833195008566698,0.1833195008566698
102.0,0.3996137749592959,0.3996137749592959,0.3593888003425775,0.3593888003425775
102.25,0.5479650577397238,0.5479650577397238,0.5479650577397238,0.5479650577397238
102.5,1.2959714436997758,1.2959714436997758,0.4431894372908583,0.4431894372908583
102.75,0.8218038567280748,0.8218038567280748,0.8218038567280748,0.8218038567280748
103.0,0.5008785712923252,0.5008785712923252,0.2866250655797291,0.2866250655797291
103.25,0.4912387782777577,0.4912387782777577,0.4912387782777577,0.4912387782777577
103.5,1.4018486509278405,2.0419119615466625,1.4018486509278405,2.0419119615466625
103.75,2.028231849382835,2.028231849382835,2.028231849382835,2.028231849382835
104.0,5.273276475134873,5.273276475134873,5.273276475134873,5.273276475134873
104.25,3.4843944763232364,3.4843944763232364,2.594285799326789,2.594285799326789
104.5,3.88228765020574,3.88228765020574,3.88228765020574,3.88228765020574
104.75,3.0715803440308767,3.0715803440308767,1.0069462372918565,1.0069462372918565
105.0,0.5161053084662294,0.5161053084662294,0.5161053084662294,0.5161053084662294
105.25,0.6767156598614721,0.9229814367071668,0.6767156598614721,0.9229814367071668
105.5,0.5036194571424725,0.5036194571424725,0.5036194571424725,0.5036194571424725
105.75,0.6255523680387967,0.6255523680387967,0.2803604148618135,0.2803604148618135
106.0,0.5407545337926892,0.5407545337926892,0.5407545337926892,0.5407545337926892
106.25,0.4198891449971073,0.4198891449971073,0.3008176755718893,0.3008176755718893
106.5,0.2780125608454197,0.2780125608454197,0.2780125608454197,0.2780125608454197
106.75,0.1735761135794841,0.3963872953453731,0.1735761135794841,0.3963872953453731
107.0,0.2063198673852508,0.2063198673852508,0.2063198673852508,0.2063198673852508
107.25,0.2282843367937047,0.236352070012892,0.2282843367937047,0.236352070012892
107.5,0.6398738800160969,0.6398738800160969,0.6398738800160969,0.6398738800160969
107.75,0.2275262181881232,0.452765812720535,0.2275262181881232,0.452765812720535
108.0,0.295977926317526,0.295977926317526,0.295977926317526,0.295977926317526
108.25,0.4643386236305393,0.4643386236305393,0.3602110985743191,0.3602110985743191
108.5,0.4036302682580125,0.4036302682580125,0.4036302682580125,0.4036302682580125
108.75,0.2351254155215451,0.2351254155215451,0.2351254155215451,0.2351254155215451
109.0,0.5873794832070791,0.5873794832070791,0.2368642708470075,0.2368642708470075
109.25,0.9364934250534208,0.9364934250534208,0.9364934250534208,0.9364934250534208
109.5,0.9617732623547202,0.9617732623547202,0.7599358812050854,0.7599358812050854
109.75,0.2108725233242105,0.2108725233242105,0.2108725233242105,0.2108725233242105
110.0,1.112501822248407,1.5630398983433258,1.112501822248407,1.5630398983433258
110.25,1.6212888056128174,1.6212888056128174,1.6212888056128174,1.6212888056128174
110.5,2.1974747261727647,2.1974747261727647,1.5310320410410825,1.5310320410410825
110.75,2.0959892839026866,2.0959892839026866,2.0959892839026866,2.0959892839026866
111.0,1.877960469371562,1.877960469371562,0.3730378403934017,0.3730378403934017
111.25,0.3196577758081297,0.3196577758081297,0.3196577758081297,0.3196577758081297
111.5,0.7630438004833658,1.0618336567615634,0.7630438004833658,1.0618336567615634
111.75,0.3359762737989432,0.3359762737989432,0.3359762737989432,0.3359762737989432
112.0,0.722822481068468,0.722822481068468,0.5798044091277541,0.5798044091277541
112.25,0.3419997805018923,0.3419997805018923,0.3419997805018923,0.3419997805018923
112.5,0.2924385511643315,0.3561905142249442,0.2924385511643315,0.3561905142249442
112.75,0.3272134334305122,0.3272134334305122,0.3272134334305122,0.3272134334305122
113.0,0.5166215646423593,0.5166215646423593,0.5166215646423593,0.5166215646423593
113.25,0.4248127912239859,0.4248127912239859,0.2679136711758181,0.2679136711758181
113.5,0.7883371864587898,0.7883371864587898,0.7883371864587898,0.7883371864587898
113.75,0.4501678447673946,1.1346068824886375,0.4501678447673946,1.1346068824886375
114.0,0.9012249361246616,0.9012249361246616,0.9012249361246616,0.9012249361246616
114.25,0.4644680257327492,0.6746875229294972,0.4644680257327492,0.6746875229294972
114.5,0.3766952859830596,0.3766952859830596,0.3766952859830596,0.3766952859830596
114.75,2.365105030686341,2.365105030686341,0.8471138531641058,0.8471138531641058
115.0,2.800138490955299,2.800138490955299,2.800138490955299,2.800138490955299
115.25,2.784559307306091,2.784559307306091,1.0497729052772296,1.0497729052772296
115.5,2.56696863590116,2.56696863590116,2.56696863590116,2.56696863590116
115.75,0.8090965899521704,0.8090965899521704,0.5035190910483414,0.5035190910483414
116.0,1.2820800351556745,1.2820800351556745,1.2820800351556745,1.2820800351556745
116.25,0.6322100371585178,0.6322100371585178,0.3147749231335879,0.3147749231335879
